Number of samples:   11203
Sample interval:     0.01 seconds
Total sampling time: 112.03 seconds
Number of cycles:    0
Sampled threads:
 #<SB-THREAD:THREAD "repl-thread" RUNNING {1008AD1BC3}>

           Self        Total        Cumul
  Nr  Count     %  Count     %  Count     %    Calls  Function
------------------------------------------------------------------------
   1    939   8.4    939   8.4    939   8.4        -  SB-KERNEL:UB8-BASH-FILL
   2    931   8.3    931   8.3   1870  16.7        -  "foreign function _platform_bzero$VARIANT$Haswell"
   3    275   2.5    275   2.5   2145  19.1        -  SB-INT:SSET-MEMBER
   4    213   1.9    432   3.9   2358  21.0        -  SB-REGALLOC::VERTICES-BEST-COLOR/GENERAL
   5    207   1.8    207   1.8   2565  22.9        -  SB-C::NODE-HOME-LAMBDA
   6    161   1.4    579   5.2   2726  24.3        -  SB-C::CONSTRAINT-PROPAGATE-IN-BLOCK
   7    137   1.2    137   1.2   2863  25.6        -  SB-INT:DELQ1
   8    133   1.2    210   1.9   2996  26.7        -  SB-C::MERGE-LETS
   9    127   1.1    155   1.4   3123  27.9        -  SB-KERNEL:TYPE=
  10    106   0.9    108   1.0   3229  28.8        -  TRUNCATE
  11    105   0.9    204   1.8   3334  29.8        -  SB-IMPL::GET-INFO-VALUE
  12    105   0.9    182   1.6   3439  30.7        -  SB-INT:SSET-ADJOIN
  13    103   0.9    172   1.5   3542  31.6        -  SB-KERNEL::MAKE-VALUES-TYPE-CACHED
  14     98   0.9    165   1.5   3640  32.5        -  SB-KERNEL:CSUBTYPEP
  15     93   0.8     93   0.8   3733  33.3        -  SB-IMPL::PACKED-INFO-VALUE-INDEX
  16     91   0.8    184   1.6   3824  34.1        -  SB-REGALLOC::CONFLICTS-IN-SC
  17     91   0.8     91   0.8   3915  34.9        -  SB-REGALLOC::COLOR-VERTEX
  18     90   0.8    632   5.6   4005  35.7        -  SB-C::VALID-FUN-USE
  19     87   0.8     87   0.8   4092  36.5        -  (FLET "CLEANUP-FUN-25" :IN SB-KERNEL:SUB-GC)
  20     85   0.8    323   2.9   4177  37.3        -  SB-KERNEL::%TYPE-INTERSECTION
  21     85   0.8    145   1.3   4262  38.0        -  (FLET SB-REGALLOC::FROB-SLOT :IN SB-REGALLOC::%CALL-WITH-TARGET-TNS)
  22     84   0.7    104   0.9   4346  38.8        -  (LABELS SB-IMPL::EQUAL-AUX :IN EQUAL)
  23     83   0.7    751   6.7   4429  39.5        -  SB-REGALLOC::FIND-VERTEX-COLOR
  24     82   0.7    101   0.9   4511  40.3        -  SB-VM::ALLOC-TRAMP
  25     76   0.7     76   0.7   4587  40.9        -  SB-IMPL::GETHASH/EQ
  26     72   0.6    234   2.1   4659  41.6        -  SB-KERNEL:VALUES-SUBTYPEP
  27     69   0.6    202   1.8   4728  42.2        -  SB-KERNEL:TYPE-INTERSECTION2
  28     68   0.6     68   0.6   4796  42.8        -  SB-C::LEXENV-ENCLOSING-CLEANUP
  29     63   0.6     63   0.6   4859  43.4        -  SB-C::REOPTIMIZE-LVAR
  30     59   0.5    456   4.1   4918  43.9        -  SB-KERNEL:VALUES-TYPE-INTERSECTION
  31     55   0.5   3651  32.6   4973  44.4        -  SB-C::IR1-OPTIMIZE-BLOCK
  32     52   0.5     98   0.9   5025  44.9        -  SB-C::LVAR-TYPE
  33     51   0.5     59   0.5   5076  45.3        -  SB-C::MAKE-LAMBDA
  34     50   0.4     50   0.4   5126  45.8        -  SB-REGALLOC::VERTEX-COLOR-POSSIBLE-P
  35     47   0.4     47   0.4   5173  46.2        -  SB-INT:EQUAL-BUT-NO-CAR-RECURSION
  36     45   0.4     78   0.7   5218  46.6        -  SB-C::SSET-GROW
  37     45   0.4     47   0.4   5263  47.0        -  SB-C::MAKE-LEXENV
  38     43   0.4    213   1.9   5306  47.4        -  SB-C::FLUSH-DEAD-CODE
  39     43   0.4     43   0.4   5349  47.7        -  SB-C::MAKE-CTRAN
  40     43   0.4     43   0.4   5392  48.1        -  SB-KERNEL:SINGLE-VALUE-TYPE
  41     43   0.4     43   0.4   5435  48.5        -  SB-REGALLOC::RECOLOR-VERTEX
  42     42   0.4   1664  14.9   5477  48.9        -  SB-C::IR1-CONVERT
