Number of samples:   11392
Sample interval:     0.01 seconds
Total sampling time: 113.92 seconds
Number of cycles:    0
Sampled threads:
 #<SB-THREAD:THREAD "repl-thread" RUNNING {1008AD1BC3}>

           Self        Total        Cumul
  Nr  Count     %  Count     %  Count     %    Calls  Function
------------------------------------------------------------------------
   1    949   8.3    949   8.3    949   8.3        -  "foreign function _platform_bzero$VARIANT$Haswell"
   2    932   8.2    932   8.2   1881  16.5        -  SB-KERNEL:UB8-BASH-FILL
   3    256   2.2    256   2.2   2137  18.8        -  SB-INT:SSET-MEMBER
   4    232   2.0    458   4.0   2369  20.8        -  SB-REGALLOC::VERTICES-BEST-COLOR/GENERAL
   5    183   1.6    636   5.6   2552  22.4        -  SB-C::CONSTRAINT-PROPAGATE-IN-BLOCK
   6    176   1.5    176   1.5   2728  23.9        -  SB-C::NODE-HOME-LAMBDA
   7    142   1.2    142   1.2   2870  25.2        -  TRUNCATE
   8    137   1.2    137   1.2   3007  26.4        -  SB-INT:DELQ1
   9    136   1.2    221   1.9   3143  27.6        -  SB-C::MERGE-LETS
  10    130   1.1    215   1.9   3273  28.7        -  SB-INT:SSET-ADJOIN
  11    120   1.1    189   1.7   3393  29.8        -  SB-KERNEL::MAKE-VALUES-TYPE-CACHED
  12    115   1.0    183   1.6   3508  30.8        -  (FLET SB-REGALLOC::FROB-SLOT :IN SB-REGALLOC::%CALL-WITH-TARGET-TNS)
  13    112   1.0    177   1.6   3620  31.8        -  SB-KERNEL:CSUBTYPEP
  14    108   0.9    108   0.9   3728  32.7        -  SB-REGALLOC::COLOR-VERTEX
  15    105   0.9    239   2.1   3833  33.6        -  SB-REGALLOC::CONFLICTS-IN-SC
  16    104   0.9    138   1.2   3937  34.6        -  SB-KERNEL:TYPE=
  17     94   0.8    811   7.1   4031  35.4        -  SB-REGALLOC::FIND-VERTEX-COLOR
  18     94   0.8     94   0.8   4125  36.2        -  SB-IMPL::PACKED-INFO-VALUE-INDEX
  19     89   0.8    340   3.0   4214  37.0        -  SB-KERNEL::%TYPE-INTERSECTION
  20     89   0.8    202   1.8   4303  37.8        -  SB-IMPL::GET-INFO-VALUE
  21     87   0.8    655   5.7   4390  38.5        -  SB-C::VALID-FUN-USE
  22     87   0.8    244   2.1   4477  39.3        -  SB-KERNEL:TYPE-INTERSECTION2
  23     87   0.8     87   0.8   4564  40.1        -  (FLET "CLEANUP-FUN-25" :IN SB-KERNEL:SUB-GC)
  24     85   0.7     85   0.7   4649  40.8        -  SB-IMPL::GETHASH/EQ
  25     82   0.7     82   0.7   4731  41.5        -  SB-C::LEXENV-ENCLOSING-CLEANUP
  26     80   0.7     95   0.8   4811  42.2        -  (LABELS SB-IMPL::EQUAL-AUX :IN EQUAL)
  27     78   0.7     92   0.8   4889  42.9        -  SB-VM::ALLOC-TRAMP
  28     77   0.7    520   4.6   4966  43.6        -  SB-KERNEL:VALUES-TYPE-INTERSECTION
  29     72   0.6    278   2.4   5038  44.2        -  SB-KERNEL:VALUES-SUBTYPEP
  30     62   0.5     62   0.5   5100  44.8        -  SB-REGALLOC::VERTEX-COLOR-POSSIBLE-P
  31     61   0.5   3686  32.4   5161  45.3        -  SB-C::IR1-OPTIMIZE-BLOCK
  32     61   0.5    113   1.0   5222  45.8        -  SB-C::LVAR-TYPE
  33     57   0.5     57   0.5   5279  46.3        -  SB-C::REOPTIMIZE-LVAR
  34     54   0.5     60   0.5   5333  46.8        -  SB-C::MAKE-LAMBDA
  35     53   0.5     53   0.5   5386  47.3        -  SB-KERNEL:SINGLE-VALUE-TYPE
  36     50   0.4    197   1.7   5436  47.7        -  SB-C::FLUSH-DEAD-CODE
  37     47   0.4     61   0.5   5483  48.1        -  SB-C::JOIN-BLOCKS
  38     45   0.4     45   0.4   5528  48.5        -  (LAMBDA (SB-PCL::.ARG0.) :IN "SYS:SRC;PCL;BRAID.LISP")
  39     44   0.4     44   0.4   5572  48.9        -  SB-KERNEL:%ADJOIN-EQ
  40     43   0.4   1632  14.3   5615  49.3        -  SB-C::IR1-CONVERT
  41     43   0.4     43   0.4   5658  49.7        -  SB-INT:EQUAL-BUT-NO-CAR-RECURSION
  42     41   0.4   2614  22.9   5699  50.0        -  SB-C::IR1-TRANSFORM
  43     39   0.3     39   0.3   5738  50.4        -  SB-C::MAKE-CTRAN
  44     39   0.3     39   0.3   5777  50.7        -  SB-IMPL::APPEND2
  45     39   0.3     39   0.3   5816  51.1        -  SB-REGALLOC::RECOLOR-VERTEX
  46     38   0.3    154   1.4   5854  51.4        -  CEILING
  47     38   0.3     64   0.6   5892  51.7        -  SB-KERNEL:MAKE-VALUES-TYPE
